Size,Used,Avail,Used%,date_time
1000G,811G,189G,82%,2025-03-11 18:20:02
1000G,811G,189G,82%,2025-03-11 19:20:02
1000G,813G,188G,82%,2025-03-12 02:20:02
1000G,813G,188G,82%,2025-03-12 03:20:02
1000G,813G,188G,82%,2025-03-12 04:20:01
1000G,813G,188G,82%,2025-03-12 05:20:01
1000G,813G,188G,82%,2025-03-12 06:20:01
1000G,813G,187G,82%,2025-03-12 07:20:01
1000G,813G,187G,82%,2025-03-12 08:20:01
1000G,813G,187G,82%,2025-03-12 09:20:01
1000G,813G,187G,82%,2025-03-12 10:20:03
1000G,813G,187G,82%,2025-03-12 11:20:03
1000G,813G,187G,82%,2025-03-12 12:20:03
1000G,813G,187G,82%,2025-03-12 13:20:03
1000G,814G,187G,82%,2025-03-12 14:20:02
1000G,814G,187G,82%,2025-03-12 15:20:01
1000G,814G,187G,82%,2025-03-12 16:20:02
1000G,814G,187G,82%,2025-03-12 17:20:02
1000G,814G,187G,82%,2025-03-12 18:20:01
1000G,814G,187G,82%,2025-03-12 19:20:04
1000G,815G,185G,82%,2025-03-13 02:20:02
1000G,815G,185G,82%,2025-03-13 03:20:01
1000G,815G,185G,82%,2025-03-13 04:20:01
1000G,815G,185G,82%,2025-03-13 05:20:01
1000G,815G,185G,82%,2025-03-13 06:20:01
1000G,815G,185G,82%,2025-03-13 07:20:02
1000G,815G,185G,82%,2025-03-13 08:20:02
1000G,815G,185G,82%,2025-03-13 09:20:02
1000G,815G,185G,82%,2025-03-13 10:20:03
1000G,816G,185G,82%,2025-03-13 11:20:04
1000G,816G,185G,82%,2025-03-13 12:20:03
1000G,816G,185G,82%,2025-03-13 13:20:04
1000G,816G,185G,82%,2025-03-13 14:20:03
1000G,816G,185G,82%,2025-03-13 15:20:04
1000G,816G,185G,82%,2025-03-13 16:20:02
1000G,816G,185G,82%,2025-03-13 17:20:03
1000G,816G,185G,82%,2025-03-13 18:20:03
1000G,816G,185G,82%,2025-03-13 19:20:02
1000G,817G,183G,82%,2025-03-14 02:20:01
1000G,818G,183G,82%,2025-03-14 03:20:02
1000G,818G,183G,82%,2025-03-14 04:20:01
1000G,818G,183G,82%,2025-03-14 05:20:02
1000G,818G,183G,82%,2025-03-14 06:20:01
1000G,818G,183G,82%,2025-03-14 07:20:01
1000G,818G,183G,82%,2025-03-14 08:20:02
1000G,818G,183G,82%,2025-03-14 09:20:02
1000G,818G,183G,82%,2025-03-14 10:20:03
1000G,818G,183G,82%,2025-03-14 11:20:02
1000G,818G,183G,82%,2025-03-14 12:20:03
1000G,818G,182G,82%,2025-03-14 13:20:01
1000G,818G,182G,82%,2025-03-14 14:20:02
1000G,818G,182G,82%,2025-03-14 15:20:02
1000G,818G,182G,82%,2025-03-14 16:20:01
1000G,818G,182G,82%,2025-03-14 17:20:01
1000G,818G,182G,82%,2025-03-14 18:20:03
1000G,818G,182G,82%,2025-03-14 19:20:03
1000G,813G,188G,82%,2025-03-17 02:20:03
1000G,813G,188G,82%,2025-03-17 03:20:03
1000G,813G,188G,82%,2025-03-17 04:20:04
1000G,813G,188G,82%,2025-03-17 05:20:03
1000G,813G,188G,82%,2025-03-17 06:20:04
1000G,813G,188G,82%,2025-03-17 07:20:04
1000G,813G,188G,82%,2025-03-17 08:20:03
1000G,813G,187G,82%,2025-03-17 09:20:03
1000G,813G,187G,82%,2025-03-17 10:20:01
1000G,813G,187G,82%,2025-03-17 11:20:01
1000G,813G,187G,82%,2025-03-17 12:20:01
1000G,813G,187G,82%,2025-03-17 13:20:01
1000G,813G,187G,82%,2025-03-17 14:20:01
1000G,813G,187G,82%,2025-03-17 15:20:02
1000G,814G,187G,82%,2025-03-17 16:20:01
1000G,814G,187G,82%,2025-03-17 17:20:02
1000G,814G,187G,82%,2025-03-17 18:20:02
1000G,814G,187G,82%,2025-03-17 19:20:03
1000G,815G,185G,82%,2025-03-18 02:20:03
1000G,815G,185G,82%,2025-03-18 03:20:02
1000G,815G,185G,82%,2025-03-18 04:20:03
1000G,815G,185G,82%,2025-03-18 05:20:04
1000G,815G,185G,82%,2025-03-18 06:20:03
1000G,815G,185G,82%,2025-03-18 07:20:02
1000G,815G,185G,82%,2025-03-18 08:20:04
1000G,815G,185G,82%,2025-03-18 09:20:01
1000G,815G,185G,82%,2025-03-18 10:20:02
1000G,815G,185G,82%,2025-03-18 11:20:01
1000G,815G,185G,82%,2025-03-18 12:20:02
1000G,816G,185G,82%,2025-03-18 13:20:03
1000G,816G,185G,82%,2025-03-18 14:20:01
1000G,816G,185G,82%,2025-03-18 15:20:01
1000G,816G,185G,82%,2025-03-18 16:20:01
1000G,816G,185G,82%,2025-03-18 17:20:01
1000G,816G,185G,82%,2025-03-18 18:20:01
1000G,816G,185G,82%,2025-03-18 19:20:01
1000G,817G,183G,82%,2025-03-19 02:20:02
1000G,817G,183G,82%,2025-03-19 03:20:03
1000G,817G,183G,82%,2025-03-19 04:20:02
1000G,817G,183G,82%,2025-03-19 05:20:01
1000G,817G,183G,82%,2025-03-19 06:20:01
1000G,817G,183G,82%,2025-03-19 07:20:01
